turn,n,ppr,kir,acc_parametric,acc_oracle,acc_hybrid,mean_logp_parametric,mean_logp_oracle,mean_logp_hybrid,flip_rate,both_correct,neither_correct,parametric_only_correct,mean_context_tokens
0,100,0.0,0.0,0.0,1.0,0.0,-9.9093,-6.6787,-9.9093,0.0,0,100,0,0.0
1,100,0.0,0.0,0.0,1.0,0.0,-9.9093,-2.4844,-9.9093,0.0,0,100,0,0.0
2,100,0.0,0.615105,0.0,1.0,0.33,-9.9093,-2.366,-6.9871,0.33,0,67,0,0.71
3,100,0.0,0.501574,0.0,1.0,0.52,-9.9093,-3.2146,-5.8317,0.52,0,48,0,1.82
4,100,0.0,0.49045,0.0,1.0,0.67,-9.9093,-4.0086,-4.9115,0.67,0,33,0,2.92
5,100,0.0,0.473918,0.0,1.0,0.7,-9.9093,-4.106,-4.9568,0.7,0,30,0,3.38
6,100,0.0,0.462324,0.0,1.0,0.73,-9.9093,-4.3945,-5.5196,0.73,0,27,0,3.85
7,100,0.0,0.448096,0.0,1.0,0.79,-9.9093,-4.7355,-5.2452,0.79,0,21,0,4.83
8,100,0.0,0.411187,0.0,1.0,0.81,-9.9093,-5.2387,-5.4424,0.81,0,19,0,6.17
9,100,0.0,0.413071,0.0,1.0,0.82,-9.9093,-5.0631,-5.4447,0.82,0,18,0,6.28
10,100,0.0,0.370151,0.0,1.0,0.81,-9.9093,-5.3376,-5.82,0.81,0,19,0,7.92
